FID,lat_start,lat_end,lon_start,lon_end,Shape_Leng
"0",-6.33800387,-6.32854556,106.4925737,106.4649365,0.029210861886
"1",-6.20261752,-6.20067229,106.8242659,106.8155349,0.00894507019274
"2",-6.16716346,-6.17668728,106.8304514,106.8306253,0.00952540752949
"3",-6.1410026,-6.14919534,106.8229075,106.8268575,0.00909524539022
"4",-6.70253266,-6.6635122,106.8146051,106.8169839,0.0390929020164
"5",-6.26409238,-6.27062764,107.164654,107.179476,0.0161988057364
"6",-6.13247642,-6.13637261,106.8284951,106.8189068,0.010349676005
"7",-6.39086509,-6.36969425,106.8217326,106.8318085,0.0234462838669
"8",-6.20581152,-6.20261752,106.8393023,106.8242659,0.0153718886599
"9",-6.17469742,-6.18582113,106.8446179,106.8505968,0.0126287041844
"10",-6.13239071,-6.12815955,106.8299446,106.844611,0.0152645341861
"11",-6.32862102,-6.33568678,106.4347211,106.4120192,0.0237760641839
"12",-6.1620666,-6.15795549,106.7893505,106.8014258,0.0127559435374
"13",-6.35279607,-6.33800387,106.5079548,106.4925737,0.0213398082961
"14",-6.25493336,-6.26409238,107.1449819,107.164654,0.0216997503635
"15",-6.790524,-6.74221873,106.779651,106.8029956,0.0536504376563
"16",-6.23555443,-6.23369038,106.9979713,106.9949045,0.00358886397662
"17",-6.12815955,-6.12799805,106.844611,106.845639,0.00104060859598
"18",-6.16003351,-6.15860163,106.7366309,106.7564999,0.0199205281399
"19",-6.22672757,-6.21739502,106.8583911,106.8552611,0.0098434439859
"20",-6.28288373,-6.26327281,106.8449003,106.8515493,0.0207074234097
"21",-6.18582113,-6.19361409,106.8505968,106.8564579,0.00975103680502
"22",-6.49336586,-6.44913672,106.794658,106.8023071,0.0448856943367
"23",-6.18622431,-6.20742487,106.8108554,106.7974252,0.0250964941066
"24",-6.13278947,-6.13142797,106.8225022,106.815998,0.00664517117091
"25",-6.21499554,-6.20896256,106.8676178,106.8622612,0.00806783807724
"26",-6.21333014,-6.21319393,106.9000419,106.8931427,0.0069005444571
"27",-6.21319393,-6.21431826,106.8931427,106.8849657,0.00825393524016
"28",-6.33061244,-6.30828717,106.8348073,106.8388717,0.0226922239532
"29",-6.21216848,-6.21022735,106.8640196,106.8499434,0.0142094120964
"30",-6.14428243,-6.13010488,106.8006591,106.8142943,0.0196703229024
"31",-6.31490576,-6.32013724,106.6760171,106.6650721,0.0121310101804
"32",-6.17668728,-6.18623568,106.8306253,106.8327027,0.00977177227118
"33",-6.23366547,-6.24147749,106.7840902,106.7803374,0.00866666973644
"34",-6.6635122,-6.62607655,106.8169839,106.8096256,0.0381519654791
"35",-6.13043851,-6.13227801,106.832075,106.8253064,0.00701410765603
"36",-6.2176308,-6.2161856,106.9399811,106.9280971,0.0119715520733
"37",-6.28891774,-6.29476516,106.7286404,106.7168042,0.0132018162048
"38",-6.3295281,-6.34471125,106.619316,106.5792415,0.0428543299478
"39",-6.16174529,-6.1620666,106.7803342,106.7893505,0.00902202337648
"40",-6.20784208,-6.20581152,106.8480989,106.8393023,0.00902792032942
"41",-6.1547184,-6.18295178,106.8012559,106.8105303,0.0297176419263
"42",-6.21914328,-6.2176308,106.9521186,106.9399811,0.0122313736761
"43",-6.23683028,-6.23555443,106.9999628,106.9979713,0.00236513540253
"44",-6.13247642,-6.1461113,106.8284951,106.8371155,0.0161313746714
"45",-6.34471125,-6.34454185,106.5792415,106.5725814,0.00666225400075
"46",-6.26984638,-6.30503615,107.2609499,107.3002225,0.0527319355427
"47",-6.16003351,-6.16234607,106.7366309,106.7254082,0.0114584872059
"48",-6.25850329,-6.25493336,107.0558371,107.1449819,0.0892162529249
"49",-6.53081584,-6.49336586,106.8006635,106.794658,0.0379284462154
"50",-6.13676199,-6.1410026,106.8174307,106.8229075,0.00692662337739
"51",-6.17222706,-6.1768793,106.6649543,106.6356361,0.0296850162283
"52",-6.18623568,-6.19822204,106.8327027,106.8410105,0.0145839763747
"53",-6.16322511,-6.16234607,106.7200419,106.7254082,0.0054378200606
"54",-6.33568678,-6.33308275,106.4120192,106.3978805,0.0143765020065
"55",-6.26327281,-6.25501651,106.8515493,106.8552277,0.00903864570882
"56",-6.109843,-6.109463,106.900076,106.887861,0.0122209093363
"57",-6.32673585,-6.32862102,106.4605434,106.4347211,0.0258910224468
"58",-6.13754059,-6.13239071,106.8147115,106.8299446,0.0160800683966
"59",-6.32013724,-6.32443231,106.6650721,106.6415743,0.0238871143347
"60",-6.62607655,-6.59540775,106.8096256,106.7903349,0.0362312903496
"61",-6.36969425,-6.36005565,106.8318085,106.8316955,0.00963926236599
"62",-6.20067229,-6.19169653,106.8155349,106.8103358,0.0103727965559
"63",-6.33931731,-6.33061244,106.8342358,106.8348073,0.00872361014532
"64",-6.40448849,-6.39086509,106.8171682,106.8217326,0.0143676990128
"65",-6.14919534,-6.16112019,106.8268575,106.8277447,0.0119578079665
"66",-6.15860163,-6.16174529,106.7564999,106.7803342,0.024040724922
"67",-6.27652121,-6.28891774,106.7449056,106.7286404,0.0204506891604
"68",-6.25501651,-6.24214097,106.8552277,106.8586393,0.0133198552865
"69",-6.11029572,-6.11332765,106.8801734,106.8780031,0.00372864608336
"70",-6.2161856,-6.21333014,106.9280971,106.9000419,0.0282001400533
"71",-6.30828717,-6.28288373,106.8388717,106.8449003,0.0261089789501
"72",-6.12787653,-6.1461113,106.8462847,106.8371155,0.0204103176267
"73",-6.1547184,-6.14428243,106.8012559,106.8006591,0.0104530206199
"74",-6.214946,-6.21499554,106.8733089,106.8676178,0.00569131561428
"75",-6.20742487,-6.23366547,106.7974252,106.7840902,0.0294345258753
"76",-6.19361409,-6.20896256,106.8564579,106.8622612,0.0164089555499
"77",-6.29476516,-6.29856234,106.7168042,106.7095624,0.00817693360575
"78",-6.16601528,-6.16925402,106.7033844,106.6834166,0.0202287536362
