id,nama,shape_leng,geom
0,,0.029210861886,"LINESTRING (106.49257370000005 -6.338003869999978, 106.48566430600007 -6.335639429999921, 106.47875497500003 -6.333274897999944, 106.47184570600008 -6.33091027499996, 106.46493650000004 -6.328545559999968)"
1,,0.00894507019274,"LINESTRING (106.82426590000003 -6.2026175199999445, 106.81553490000006 -6.200672289999933)"
2,,0.00952540752949,"LINESTRING (106.83045140000004 -6.167163459999938, 106.83053834900005 -6.171925369999944, 106.83062530000005 -6.176687279999951)"
3,,0.00909524539022,"LINESTRING (106.82290750000007 -6.1410025999999585, 106.82488248500006 -6.145098973999965, 106.82685750000005 -6.149195339999971)"
4,,0.0390929020164,"LINESTRING (106.81460510000005 -6.702532660000019, 106.81508089000006 -6.694728573999923, 106.81555666500009 -6.686924485000004, 106.8160324250001 -6.6791203929999075, 106.81650817000012 -6.671316297999988, 106.81698390000005 -6.66351219999998)"
5,,0.0161988057364,"LINESTRING (107.16465400000008 -6.264092379999978, 107.17206495400006 -6.267360061999986, 107.17947600000007 -6.270627639999896)"
6,,0.010349676005,"LINESTRING (106.8284951000001 -6.1324764199998905, 106.823700967 -6.134424535999963, 106.82257261320595 -6.134883034147589, 106.81890680000008 -6.136372609999943)"
7,,0.0234462838669,"LINESTRING (106.82173260000012 -6.3908650899999895, 106.8250913250001 -6.383808166999897, 106.82844995800009 -6.37675121999998, 106.83180850000007 -6.369694249999972)"
8,,0.0153718886599,"LINESTRING (106.83930230000007 -6.205811519999984, 106.8317840770001 -6.204214572999924, 106.82426590000003 -6.2026175199999445)"
9,,0.0126287041844,"LINESTRING (106.84461790000006 -6.174697419999977, 106.84760731900005 -6.180259283999914, 106.85059680000003 -6.185821129999938)"
10,,0.0152645341861,"LINESTRING (106.82994460000003 -6.132390709999904, 106.83727782900007 -6.130275179999924, 106.84461100000001 -6.128159549999936)"
11,,0.0237760641839,"LINESTRING (106.43472110000005 -6.328621019999995, 106.43123864705439 -6.329704962030261, 106.4271538680001 -6.330976382999923, 106.41958656800006 -6.333331635999931, 106.41201920000009 -6.33568677999993)"
12,,0.0127559435374,"LINESTRING (106.78935050000008 -6.162066599999929, 106.79538817300005 -6.160011078999941, 106.80142580000009 -6.157955489999947)"
13,,0.0213398082961,"LINESTRING (106.50795480000001 -6.352796069999981, 106.50282766900007 -6.3478653879999545, 106.49770063600006 -6.342934654999924, 106.49257370000005 -6.338003869999978)"
14,,0.0216997503635,"LINESTRING (107.14498190000008 -6.254933359999951, 107.15153919100004 -6.257986447999967, 107.1580965570001 -6.261039454999976, 107.16465400000008 -6.264092379999978)"
15,,0.0536504376563,"LINESTRING (106.79686269773578 -6.754910101402137, 106.7991051540001 -6.75026969199998, 106.80299560000013 -6.7422187299999745)"
16,,0.00358886397662,"LINESTRING (106.99797130000006 -6.235554429999959, 106.99490450000006 -6.233690379999914)"
17,,0.00104060859598,"LINESTRING (106.84461100000001 -6.128159549999936, 106.84563900000008 -6.127998049999985)"
18,,0.0199205281399,"LINESTRING (106.73663090000007 -6.1600335099999315, 106.74325391200006 -6.159556297999971, 106.74987691200003 -6.159079005000003, 106.75649990000002 -6.15860162999994)"
19,,0.0098434439859,"LINESTRING (106.85839110000003 -6.22672756999997, 106.85682608600004 -6.222061297999972, 106.85526110000005 -6.217395019999974)"
20,,0.0207074234097,"LINESTRING (106.84490030000006 -6.282883730000025, 106.84711668800013 -6.276346767999966, 106.84933302200001 -6.269809793999995, 106.85154930000007 -6.263272809999934)"
21,,0.00975103680502,"LINESTRING (106.85059680000003 -6.185821129999938, 106.85352732900013 -6.189717618000015, 106.85645790000004 -6.193614089999913)"
22,,0.0448856943367,"LINESTRING (106.79465800000011 -6.493365859999903, 106.79618792600004 -6.484520046999945, 106.79771779900007 -6.4756742269999865, 106.79924761900008 -6.466828398999938, 106.80077738600009 -6.4579825629999785, 106.80129683845705 -6.454978736872944, 106.80230710000009 -6.449136719999929)"
23,,0.0250964941066,"LINESTRING (106.81085540000004 -6.1862243099999015, 106.806378785 -6.193291202999931, 106.80190205200006 -6.200358055999957, 106.7974252000001 -6.20742486999998)"
24,,0.00664517117091,"LINESTRING (106.82250220000012 -6.132789469999946, 106.81599800000001 -6.131427969999916)"
25,,0.00806783807724,"LINESTRING (106.86761780000006 -6.214995539999948, 106.86226120000006 -6.208962559999933)"
26,,0.0069005444571,"LINESTRING (106.9000419000001 -6.213330139999909, 106.8931427000001 -6.213193929999918)"
27,,0.00825393524016,"LINESTRING (106.8931427000001 -6.213193929999918, 106.88496570000005 -6.214318259999954)"
28,,0.0226922239532,"LINESTRING (106.83480730000012 -6.3306124399999195, 106.83616213900004 -6.32317068899996, 106.83751693900005 -6.315728932000001, 106.83887170000006 -6.308287169999952)"
29,,0.0142094120964,"LINESTRING (106.86401960000006 -6.212168479999982, 106.85698148700003 -6.211197961999972, 106.84994340000007 -6.210227349999955)"
30,,0.0196703229024,"LINESTRING (106.80065910000008 -6.144282429999994, 106.80520424600009 -6.139556618999955, 106.80974931300008 -6.1348307690000015, 106.81429430000009 -6.130104879999956)"
31,,0.0121310101804,"LINESTRING (106.67601710000005 -6.314905759999926, 106.67054462700006 -6.317521528999995, 106.66507210000013 -6.320137239999971)"
32,,0.00977177227118,"LINESTRING (106.83062530000005 -6.176687279999951, 106.8316639910001 -6.181461480999908, 106.83270270000007 -6.186235679999954)"
33,,0.00866666973644,"LINESTRING (106.78409020000005 -6.233665469999985, 106.78033740000005 -6.241477489999938)"
34,,0.0381519654791,"LINESTRING (106.81698390000005 -6.66351219999998, 106.81551215100005 -6.656025082999998, 106.81404044700004 -6.648537959999926, 106.81256878700005 -6.6410508299999425, 106.81109717100006 -6.633563692999958, 106.80962560000006 -6.626076549999974)"
35,,0.00701410765603,"LINESTRING (106.83207500000009 -6.130438509999938, 106.82530640000004 -6.132278009999905)"
36,,0.0119715520733,"LINESTRING (106.93998110000004 -6.2176307999999425, 106.934039092 -6.2169082329999314, 106.92809710000006 -6.216185600000004)"
37,,0.0132018162048,"LINESTRING (106.72864040000009 -6.288917739999947, 106.722722333 -6.291841482999919, 106.71680420000007 -6.294765159999974)"
38,,0.0428543299478,"LINESTRING (106.61931600000011 -6.329528099999907, 106.61130128700009 -6.3325649769999135, 106.60328648000005 -6.33560172999991, 106.5952715800001 -6.338638359999985, 106.58725658700006 -6.341674866999961, 106.57924150000008 -6.344711249999927)"
39,,0.00902202337648,"LINESTRING (106.78033420000006 -6.1617452899999, 106.78935050000008 -6.162066599999929)"
40,,0.00902792032942,"LINESTRING (106.84809890000004 -6.20784207999995, 106.83930230000007 -6.205811519999984)"
41,,0.0297176419263,"LINESTRING (106.80125590000007 -6.154718399999983, 106.80357440800006 -6.1617767630000175, 106.80589297800005 -6.168835113999962, 106.80821160800005 -6.175893452999994, 106.81053030000005 -6.182951779999937)"
42,,0.0122313736761,"LINESTRING (106.95211860000005 -6.219143279999941, 106.94604984100009 -6.218387074999989, 106.93998110000004 -6.2176307999999425)"
43,,0.00236513540253,"LINESTRING (106.99996280000008 -6.236830279999919, 106.99797130000006 -6.235554429999959)"
44,,0.0161313746714,"LINESTRING (106.8284951000001 -6.1324764199998905, 106.8287057139622 -6.132809553070975, 106.83280524500012 -6.139293877999976, 106.83711550000005 -6.14611129999997)"
45,,0.00666225400075,"LINESTRING (106.57924150000008 -6.344711249999927, 106.57258140000005 -6.344541849999944)"
