id,namobj,kodkod,kabkot,provinsi,kelas,status_ope,lon,lat
0,PASAR SENEN,PSE,KOTA ADM. JAKARTA PUSAT,DKI JAKARTA,A,Aktif,106.8442,-6.1745
1,RAJAWALI,RJW,KOTA ADM. JAKARTA PUSAT,DKI JAKARTA,III,Aktif,106.8368,-6.14508
2,TANAH ABANG,THB,KOTA ADM. JAKARTA PUSAT,DKI JAKARTA,A,Aktif,106.8108,-6.1861
3,Gondangdia,GDD,KOTA JAKARTA PUSAT,DKI JAKARTA,II,Aktif,106.8328,-6.1861
4,Juanda,JUA,KOTA JAKARTA PUSAT,DKI JAKARTA,II,Aktif,106.8304,-6.16656
5,Karet,KAT,KOTA JAKARTA PUSAT,DKI JAKARTA,III,Aktif,106.816,-6.20081
6,Mangga Besar,MGB,KOTA JAKARTA PUSAT,DKI JAKARTA,II,Aktif,106.827,-6.14978
7,Sawah Besar,SWB/SW,KOTA JAKARTA PUSAT,DKI JAKARTA,II,Aktif,106.8276,-6.16058
8,Sentiong,GST,KOTA JAKARTA PUSAT,DKI JAKARTA,III,Aktif,106.851,-6.18628
9,Sudirman,SUD,KOTA JAKARTA PUSAT,DKI JAKARTA,I,Aktif,106.8234,-6.20209
10,ANCOL,AC,KOTA ADM. JAKARTA UTARA,DKI JAKARTA,III,Aktif,106.8448,-6.12811
11,JAKARTA GUDANG,JAKG,KOTA ADM. JAKARTA UTARA,DKI JAKARTA,C,Aktif,106.8194,-6.1333
12,TANJUNG PRIOK,TPK,KOTA ADM. JAKARTA UTARA,DKI JAKARTA,II,Aktif,106.882,-6.11041
13,Kampung Bandan Atas,KPB A,KOTA JAKARTA UTARA,DKI JAKARTA,II,Aktif,106.8284,-6.133
14,Kampung Bandan Bawah,KPB B,KOTA JAKARTA UTARA,DKI JAKARTA,II,Aktif,106.8286,-6.13239
15,Pasoso,POO,KOTA JAKARTA UTARA,DKI JAKARTA,III,Aktif,106.884,-6.10938
16,Sungai Lagoa,SAO,KOTA JAKARTA UTARA,DKI JAKARTA,I,Aktif,106.8758,-6.11279
17,ANGKE,AK,KOTA ADM. JAKARTA BARAT,DKI JAKARTA,II,Aktif,106.8008,-6.14471
18,DURI,DU,KOTA ADM. JAKARTA BARAT,DKI JAKARTA,I,Aktif,106.8016,-6.15588
19,JAKARTA KOTA,JAKK,KOTA ADM. JAKARTA BARAT,DKI JAKARTA,A,Aktif,106.8166,-6.1366
20,Bojong Indah,BOI,KOTA JAKARTA BARAT,DKI JAKARTA,III,Aktif,106.7366,-6.15997
21,Grogol,GRG,KOTA JAKARTA BARAT,DKI JAKARTA,III,Aktif,106.7894,-6.16211
22,Jayakarta,JYK/JAY,KOTA JAKARTA PUSAT,DKI JAKARTA,II,Aktif,106.823,-6.1413
23,Kalideres,KDS,KOTA JAKARTA BARAT,DKI JAKARTA,III,Aktif,106.7034,-6.16608
24,Pesing,PSG,KOTA JAKARTA BARAT,DKI JAKARTA,III,Aktif,106.772,-6.16119
25,Rawa Buaya,RW,KOTA JAKARTA BARAT,DKI JAKARTA,III,Aktif,106.7236,-6.1626
26,Taman Kota,TKO,KOTA JAKARTA BARAT,DKI JAKARTA,III,Aktif,106.7566,-6.15857
27,KEBAYORAN,KBY,KOTA ADM. JAKARTA SELATAN,DKI JAKARTA,II,Aktif,106.7824,-6.23737
28,MANGGARAI,MRI,KOTA ADM. JAKARTA SELATAN,DKI JAKARTA,A,Aktif,106.8498,-6.2099
29,Cawang,CWG/CW,KOTA JAKARTA SELATAN,DKI JAKARTA,II,Aktif,106.8586,-6.2417
30,Duren Kalibata,DRN,KOTA JAKARTA SELATAN,DKI JAKARTA,II,Aktif,106.855,-6.25568
31,Lenteng Agung,LTA/LNA,KOTA JAKARTA SELATAN,DKI JAKARTA,II,Aktif,106.8346,-6.3299
32,Pasar Minggu,PSM,KOTA JAKARTA SELATAN,DKI JAKARTA,I,Aktif,106.8446,-6.28436
33,Pasar Minggu Baru,PSMB,KOTA JAKARTA SELATAN,DKI JAKARTA,II,Aktif,106.8518,-6.26282
34,Tanjung Barat,TNT,KOTA JAKARTA SELATAN,DKI JAKARTA,II,Aktif,106.839,-6.30847
35,Tebet,TEB,KOTA JAKARTA SELATAN,DKI JAKARTA,II,Aktif,106.8584,-6.22668
36,Universitas Pancasila,UP,KOTA JAKARTA SELATAN,DKI JAKARTA,II,Aktif,106.8342,-6.33911
